Data,,,,
Project:,http://data.imicrobe.us/project/view/79,,,
Data:,http://mirrors.iplantcollaborative.org/browse/iplant/home/shared/imicrobe/projects/79,,,
,,,,
Namespace,,,,
obo,http://purl.obolibrary.org/obo/,,,
domain,http://example.com/domain/,,,
rdfs,http://www.w3.org/2000/01/rdf-schema#,,,
dwcterms,http://rs.tdwg.org/dwc/terms/,,,
sio,http://semanticscience.org/resource/,,,
,,,,
,,,,
Subject,Predicate,Object,Notes,column
_specimen collection process1,rdf:type,obo:OBI_0000659,instance of specimen collection process,
_specimen collection process1,obo:OBI_0000293,_seawater1,has specified input,
_seawater1,rdf:type,obo:ENVO_00002149,,
_specimen collection process1,obo:OBI_0000299,_specimen1,has specified output,
_specimenGD1,rdf:type,obo:OBI_0100051,specimen,
_specimenGD1,rdfs:label,CAM_S_462^^string,,
_specimen collection process1,obo:BFO_0000066,_location1,occurs in,
_specimenGD1,obo:RO_0000086,obo:PATO_0000918,has quality volume ,
_data_itemGD1,rdf:type,obo:IAO_0000109,measurement data item,
_data_itemGD1,obo:IAO_0000136,_specimenGD1,is about,
_data_itemGD1,obo:OBI_0001938,10^^xsd:decimal,has value specification,
_value_specGD1,sio:SIO_000221,obo:UO_0000099,has unit liter,
,,,,
_location1,rdf:type,obo:BFO_0000029,site,
_location1,dwcterms:decimalLatitude,27.506^^xsd:decimal,,
_location1,dwcterms:decimalLongitude,-111.3469667^^xsd:decimal,,
_location1,dwcterms:verbatumDepth,1597^^xsd:decimal,,
_location1,obo:BFO_0000050,envo:ENVO_01000030,part of marine hydrothermal vent biome,
,,,,
_observing_processA,rdf:type,obo:bco_0000003,,
_observing_processA,obo:OBI_0000293,_seawater2,sea water,
_seawater2,rdf:type,obo:ENVO_00002149,sea water,
_observing_processA,obo:BFO_0000066,_location1,occurs in,
,,,,
_assay1,rdf:type,obo:OBI_0000070,assay,
_assay1,obo:OBI_0000293,_seawater3,has specified input,
_seawater3,rdf:type,obo:ENVO_00002149,sea water,
_seawater3,obo:BFO_0000050,_seawater2,,
_assay1,obo:BFO_0000050,_observing_processA,part of,
_assay1,obo:OBI_0000299,_data_item1,has specified output,
_data_item1,obo:IAO_0000136,obo:ENVO_00002149,is about seawater,
obo:ENVO_00002149,obo:RO_0000086,domain:salinity,sea water has quality salinity (note that this leaves out the semantics of salinity as a concentration),
domain:salinity,rdfs:subClassOf,obo:PATO_0000001,pato quality,
_data_item1,obo:OBI_0001938,34.61^^xsd:decimal,has value specification,
_data_item1,sio:SIO_000221,obo:UO_0000169,has unit ppm,
,,,,
_assay2,rdf:type,obo:OBI_0000070,assay,
_assay2,obo:OBI_0000293,_seawater4,has specified input sea water,
_seawater4,rdf:type,obo:ENVO_00002149,sea water,
_seawater4,obo:BFO_0000050,_seawater2,,
_assay2,obo:BFO_0000050,_observing_processA,part of,
_assay2,obo:OBI_0000299,_data_item2,has specified output,
_data_item2,obo:IAO_0000136,obo:ENVO_00002149,is about seawater,
obo:ENVO_00002149,obo:RO_0000086,obo:PATO_0000146,sea water has quality temperature,
_data_item2,obo:OBI_0001938,2.96^^xsd:decimal,has value specification,
_data_item2,sio:SIO_000221,obo:UO_0000027,has unit degree Celcius,
,,,,
_assay3,rdf:type,obo:OBI_0000070,assay,
_assay3,obo:OBI_0000293,_seawater5,has specified input sea water,
_seawater5,rdf:type,obo:ENVO_00002149,sea water,
_seawater5,obo:BFO_0000050,_seawater2,,
_assay3,obo:BFO_0000050,_observing_processA,part of,
_assay3,obo:OBI_0000299,_data_item3,has specified output,
_data_item3,obo:IAO_0000136,obo:ENVO_00002149,is about seawater,
obo:ENVO_00002149,obo:RO_0000086,domain:oxygen_concentration,sea water has quality (note that this leaves out the semantics of a concentration),
domain:oxygen_concentration,rdfs:subClassOf,obo:PATO_0000001,pato quality,
_data_item3,obo:OBI_0001938,27.39^^xsd:decimal,has value specification,
_data_item3,sio:SIO_000221,domain:umol_per_Kg,has unit umol/Kg,
domain:umol_per_Kg,rdfs:subClassOf,obo:UO_0000051,concentration unit (this leaves out the semantics of the unit),