Namespaces,,,
oboe,http://ecoinformatics.org/oboe/oboe.1.0/oboe-core.owl#,,
oboe-standard,http://ecoinformatics.org/oboe/oboe.1.0/oboe-standard.owl#,,
oml,http://def.seegrid.csiro.au/ontology/om/om-lite,,
envo,http://purl.obolibrary.org/obo/,,
pato,http://purl.obolibrary.org/obo/,,
domain,http://example.com/domain/,,
nerc-p01,http://vocab.nerc.ac.uk/collection/P01/current/,,
qudt,http://data.nasa.gov/qudt/owl/qudt#,,http://www.qudt.org/qudt/owl/1.0.0/qudt.owl
qudt-unit,http://data.nasa.gov/qudt/owl/unit#,,http://www.qudt.org/qudt/owl/1.0.0/unit.owl
owlTime,http://www.w3.org/2006/time#,,http://def.seegrid.csiro.au/ontology/time/new
,,,
Subject,Predicate,Object,Notes
_:ent1,rdf:type,envo:ENVO_0002149,envo:SeaWater
envo:ENVO_0002149,rdf:subClassOf,oboe:Entity,
_:obs1,rdf:type,oboe:Observation,
_:obs1,oboe:ofEntity,_:ent1,
_:obs1,oboe:hasMeasurement,_:meas1,
_:meas1,oboe:hasValue,18.740^^xsd:decimal,
_:meas1,rdf:type,oboe:Measurement,
_:meas1,oboe:ofCharacteristic,_:meas1characteristic,
pato:PATO_0000146,rdf:subClassOf,oboe:Characteristic,entailment is a possible problem here
_:meas1characteristic,rdf:type,pato:PATO_0000146,pato:temperature;
_:meas1,oboe:standard,oboe-standard:Celsius,
oboe-standard:Celsius,owl:equivalentClass,qudt-unit:DegreeCelsius,
,,,
_:meas2,oboe:hasValue,4.0^^xsd:decimal,
_:meas2,rdf:type,oboe:Measurement,
_:meas2,oboe:ofCharacteristic,_:meas2characteristic,
_:meas2characteristic,rdf:type,domain:Depth,
domain:Depth,rdf:subClassOf,pato:PATO_0001595,
_:meas2,oboe:standard,oboe-standard:Length,
oboe-standard:Length,owl:equivalentClass,qudt-unit:Meter,
_:obs2,rdf:type,oboe:Observation,
_:obs2,oboe:hasMeasurement,_:meas2,
_:obs2,oboe:ofEntity,_:ent2,
_:ent2,rdf:type,domain:3DRelativeSite,werner: issue with reifying 3D site as an entity that can be returned to
_:obs1,oboe:hasContext,_:obs2,
,,,
_:meas3,oboe:hasValue,1^^xsd:string,
_:meas3,rdf:type,oboe:Measurement,
_:meas3,oboe:ofCharacteristic,_:meas3characteristic,
_:meas3characteristic,rdf:type,domain:CastIdentifier,
domain:CastIdentifier,rdf:subClassOf,domain:Name,
_:meas2,oboe:standard,domain:SargassoProjectCastIdentifiers,
_:obs3,rdf:type,oboe:Observation,
_:obs3,oboe:hasMeasurement,_:meas3characteristic,
_:obs3,oboe:ofEntity,_:ent3,
_:ent3,rdf:type,domain:3DRelativeSite,
_:obs2,oboe:hasContext,_:obs3,
,,,
,,,
,,,
_:meas6,oboe:hasValue,33.002^^xsd:float,
_:meas6,rdf:type,oboe:Measurement,
_:meas6,oboe:ofCharacteristic,_:meas6characteristic,
_:meas6characteristic,rdf:type,domain:Latitude,
_:meas6,oboe:standard,domain:DecimalDegrees,
_:obs3,oboe:hasMeasurement,_:meas6,
,,,
_:meas7,oboe:hasValue,-64.005^^xsd:float,
_:meas7,rdf:type,oboe:Measurement,
_:meas7,oboe:ofCharacteristic,_:meas7characteristic,
_:meas7characteristic,rdf:type,domain:Longitude,
_:meas7,oboe:standard,domain:DecimalDegrees,
_:obs3,oboe:hasMeasurement,_:meas7,
,,,
_:ent4,rdf:type,owlTime:TemporalInstant,
_:obs4,oboe:ofEntity,_:ent4,
_:obs3,oboe:hasContext,_:obs4,
,,,
_:meas4,oboe:hasValue,20110315^^xsd:string,
_:meas4,rdf:type,oboe:Measurement,
_:meas4,oboe:ofCharacteristic,_:meas4characteristic,
_:meas4characteristic,rdf:type,??,how to map this to a date
_:meas4,oboe:standard,??,WTF?
_:obs4,oboe:hasMeasurement,_:meas4,
,,,
_:meas5,oboe:hasValue,1639^^xsd:string,
_:meas5,rdf:type,oboe:Measurement,
_:meas5,oboe:ofCharacteristic,_:meas5characteristic,
_:meas5characteristic,rdf:type,??,how to map this to a time
_:meas5,oboe:standard,??,WTF?
_:obs4,oboe:hasMeasurement,_:meas5,